Course Code,Offering Unit/Department,Course Title,Course Description,Discipline Specific (Up to 5) - the dropdown list changes based on the Offering Unit/Department selection.,SMU Graduate Learning Outcomes,Grading Basis (e.g. Graded or Pass/Fail),Course Attributes,Requisites,Column2,Prerequisite_Codes,Corequisite_Codes,Antirequisite_Codes
LAW.489,YPHSL,Introduction to Law and Technology,"The goal of the course is to provide a broad appreciation for the intersection of emerging technologies and the law. 
Often times there is not enough (or even any) law that adequately regulates a particular area.  In some instances, the courts can apply regulations and laws from similar technologies as a stopgap.    This course aims to show where the law adequately regulates an emerging technology and where there is room for improvement. 
The course aims to have an international bent, looking at how different regimes apply their laws and how those efforts promote or stymie innovation.  
This is a short course and it is impossible to provide even a cursory overview of all interesting and emerging technologies.  As such, this syllabus is only a guideline for potential analysis and discussion.  We will look to the students to decide what areas in particular interest them and the class will try to focus there.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Politics, Law & Economics Electives, AREA - Social Sciences/PLE Major-related, AREA - Technology Studies Cluster, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - COR-LAW2216, RQCX - LAW4032, TRCK - PLE: Distribution and Justice Track, TRCK - PLE: Public Policy and Governance Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW.489,,,COR-LAW2216|LAW4032|LAW4033
LAW.491,YPHSL,Law and Digital Commerce,"As businesses increasingly embrace the use of technology in domestic and cross-border operations, such as blockchain technology, cloud technology, the Internet of Things (IoT) and digitalized trade documents, it is necessary for lawyers and legal policy-makers to not only appreciate the complex legal and policy issues arising from such use of technology, but to also help provide clear legal thinking and innovative ideas in resolving such issues.

This unique course aims to provide students with an opportunity to learn about and confront a selection of such issues, develop an understanding of real-world legal-policy issues and exercise skills in critical thinking and creativity to produce usable law and policy recommendations. The issues are selected based on their topicality, feedback from industry, importance to Singapore and ASEAN and a review of academic and business literature.

Students will be guided in an exploration and analysis of cross-border trade law issues relating to the intersection of commerce and technology. In the first part of the course, an explanation of the some key issues will be provided to help students understand the broader context of trade in the digital economy. Students will then be exposed to a number of issues which are confronting policy-makers and the private sector, so that they may conduct legal research and craft clear and cogent law and policy recommendations from their findings. Industry professionals will help to provide feedback and discuss students' findings and recommendations. Industry contacts in this course are likely to be from the fields of finance, technology, commerce, policy/strategy and law.

In addition to interactive learning with the course instructor (Professor Locknie Hsu), students will also receive industry and policy insights from 1-3 industry experts (who may be from the commerce and finance, technology and/or policy-making sectors).","Regulatory Compliance, Regulatory Compliance, Regulatory and Legal Advisory, International Trade Legislation Compliance","Disciplinary knowledge, Interdisciplinary knowledge, Critical thinking & problem solving, Collaboration and leadership, Innovation and enterprising skills, Understanding of global and Asian perspectives, Self-directed learning, Multidisciplinary knowledge",GRD - Graded,"AREA - Advanced Business Technology Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Globalisation Cluster, AREA - Grad Req - Dig Tech/Data Ana (Intake 2024 onwards), AREA - IS Related Courses, AREA - Law Capstone, AREA - Social Sciences/PLE Major-related, RQPR - Applicable for LLB only, TRCK - Law: Law and Technology Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW.491,,,
LAW.493,YPHSL,Intellectual Property Law and Competition Law at Interplay,"One of the hottest legal topics in the knowledge economy is surely the conflict between intellectual property law and competition law and its resolution. The fact that the patent licensing practice of Qualcomm (world no. 1 chip designer in mobile communication) has been challenged world over is an attestation in point. So is the antitrust suit against Google, and previously against Microsoft, Intel and many other IP giants. To provide a systemic solution to this conflict is the goal of this module. It will start with a detailed discussion of the general theory of IP laws and try to establish common principles applicable to all areas of IP. It will then introduce the competition law regimes on cartel, abuse of dominance and unfair competition, before it embarks on to examine  compulsory license of IP, exhaustion of IP,  resale price maintenance agreement  on IP protected protects, and the issuance of warning letters, which encompass all IP laws. The module will further break down to analyze the relationship between competition law and the exercise of specific IP rights, such as patents, copyrights, trademarks, design rights, plant variety rights, and eventually also  trade secrets.",-,-,GRD - Graded,"AREA - Advanced Business Technology Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Globalisation Cluster, AREA - IS Related Courses, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, TRCK - Law: Law and Technology Track",No,https://ccms.smu.edu.sg/courses?page=1&cq=LAW.493,,,
LAW306,YPHSL,Law of Evidence & Civil Procedure,"In every trial, the trial judge is faced with two distinct challenges. First, the trial judge must make findings of fact, which is to say, the judge has to decide what happened. Secondly, based on these facts, the trial judge applies the relevant substantive legal rules to the dispute before coming to his reasoned decision. The Law of Evidence is concerned with the rules, theories and policies underlying the heavy responsibility of the trial judge in relation to the first question. This area of the law is concerned with the issues of admissibility of evidence, modes of proof, the manner of production of evidence, and the standard and burden of proof.  In the final part of this course, the students will also be acquainted with civil procedure.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Law Core, AREA - Legal Studies Major, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 4 ISEP; 1 SUSEP, RQCX - LAW307, RQCX - LAW462, RQSR - LGST101/201 Grd A- or LAW101 Grd A- or enrol LLB",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW306,LAW425,,LAW307_637|LAW462
LAW400,YPHSL,Directed Research,"To apply to do a Directed Research (DR) paper, students must have completed and passed the second year of LL.B. studies. In addition, students must have obtained a cumulative GPA of 3.30 or better. Applications to do a second DR will be considered on a case-by-case basis. A student who wishes to undertake a second DR must have already successfully completed the first DR and must maintain a cumulative GPA of 3.30 or better at the time of application for the second DR.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Social Sciences/PLE Major-related, RQCX - LAW4077, RQCX - LAW4078, RQCX - LAW4079, RQPR - Applicable for LLB only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW400,,,LAW4077|LAW4078|LAW4079
LAW401,YPHSL,Intellectual Property Law,"It is a truism that the world has entered the information age where knowledge and new ideas will form the bedrock of the new economic order. 

This course has the aim of setting out an overview of the rationale and principles governing protection of core intellectual and industrial property rights: copyright; patents; passing off and registered trade marks. 

The course will be concerned not just with domestic ""black letter"" intellectual property law in Singapore. It will also examine international concerns and the growing importance of intellectual property in the context of international trade. 

One of the central themes of this course will be the question: ""is it possible that we now have too much of a good thing and that the world is now sated and nearing IP indigestion""?","Copyright Protection, Patent Practice, Trade Mark Application, Technology Assessment","Disciplinary knowledge, Critical thinking & problem solving, Multidisciplinary knowledge, Interdisciplinary knowledge",GRD - Graded,"AREA - Advanced Business Technology Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Global & Regional Studies, AREA - IS Related Courses, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, AREA - Technology & Entrepreneurship, AREA - Technology Studies Cluster, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LGST203, TRCK - Law: Law and Technology Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW401,,,LGST203
LAW402,YPHSL,Chinese Contract Law,"This course will provide students with a comparative perspective on selected issues in contract law. It will compare the main principles of contract at common law and those in Chinese law. It will also examine the Chinese contract law perspectives relating to the scope of application, judicial interpretation, formation, performance, modification and assignment of contracts as well as liability for breach of contract. At the end of the course, students will be able to understand the Chinese contract law framework and appreciate the differences between common law and Chinese law.",-,-,GRD - Graded,"AREA - Asia Studies (Intake 2019 to 2023), AREA - Asian Studies (Intake 2018 and earlier), AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=LAW402,,,
LAW403,YPHSL,Negotiation and Mediation for Lawyers,"Negotiation forms a large part of what lawyers do. The purpose of this course is to provide an introduction to negotiation and mediation in practice. This course pursues two parallel tracks of inquiry:

First, the course will examine the development and role of alternatives to litigation in the last three decades, and will in particular consider the arguments for and against extra-judicial processes of dispute resolution. This aspect of the course will also examine, on a comparative basis, the manner in which legislatures and the judiciary have responded to the growth of negotiation and mediation, especially in developing such processes as judicial settlement conferences, judge-led or court-annexed mediation, restorative justice, the statutory provision for mediation, and judicial 'supervision' of private justice;

Second, the course will provide an introduction to the core skills and processes of negotiation and mediation, in particular paying attention to the practice of mutual gains bargaining and negotiating in the international legal environment. These skills of negotiation and mediation may be identified as encompassing dispute analysis, dispute management, bargaining, problem solving, effective communication, and relationship-building skills",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Org Behaviour & HR Core, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LGST220/LGST221, RQCX - LGST222, RQCX - OBHR.222/COR-OBHR.1309, RQCX - OBHR218, RQSR - LGST101 or (LAW101 and LAW102)",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW403,,,COR-OBHR.1309|LAW478|OBHR.218
LAW405,YPHSL,Information Technology and the Law,"Information Technology is the use of technology to manage and process information. It involves the development and use of computer hardware and software for every aspect of the 'life' of information, goods and services as well as the 'process' of communication. As technology develops and changes, new challenges emerge for law and policy-makers to deal with the impact that they may have on society. Existing laws have to adapt to the digital medium and subject matter, and in some cases entirely new areas of law are crafted. This course on Information Technology and the Law examines the legal issues and regulations arising out of the use of information technology in major areas of law, such as electronic contracting in e-commerce, intellectual property rights on the Internet, the domain name regime, data protection and privacy rights in relation to electronic information, torts committed online, content regulation, computer crimes and cybercrime.","Corporate and Business Law, Regulatory Compliance","Critical thinking & problem solving, Self-directed learning, Disciplinary knowledge, Multidisciplinary knowledge",GRD - Graded,"AREA - Advanced Business Technology Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - IS Management Depth Electives, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, AREA - Technology & Entrepreneurship, AREA - Technology Studies Cluster, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - COR-LAW2242, RQCX - COR2226, RQCX - LGST205, TRCK - Law: Law and Technology Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW405,,,
LAW406,YPHSL,International Commercial Arbitration,"International commercial arbitration has held itself out to be a fast, convenient and confidential means of binding dispute resolution. Since 1958, the wide spread recognition of arbitration awards by different countries, the promulgation of a model law of arbitration and a growing acceptance of a uniform set of best practices has increased the profile of arbitration. This is more so in Asia than anywhere else. In a region of varied court systems, arbitration offers certainty, due process, confidentiality and a quiet resolution. Or does it?

As arbitration is consensual, almost all arbitrations arise from a clause in an agreement. The agreement itself can address a myriad of dealings from joint ventures to distributorships to acquisitions. Lawyers in all commercial disciplines need to appreciate what their clients agree to when an arbitration clause is in their document. 

The course is a study of the core principles applicable to international commercial arbitration, the main international rules and of the values adopted by Singapore in its efforts to become an international commercial arbitration centre.","Regulatory and Legal Advisory, Corporate and Business Law",Interdisciplinary knowledge,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LAW474, TRCK - Law: Dispute Resolution Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW406,,,LAW474
LAW407,YPHSL,Complex International Litigation,"The intention will be to examine the theory and practice, with more attention on the latter, of cross-border litigation. The difference between it and a more ordinary course on international commercial litigation (or between it and the ICL component of a course on the commercial conflict of laws) is that it will try to examine the practical consequences of the rules and the strategic opportunities which are available. The intention will be to take a complex case - maybe accountant or auditor negligence, maybe engineering disaster or pharmaceutical catastrophe - and look at the way it may evolve when the various interested parties (or their insurers) have divergent views about what litigation should take place, where it should take place, what may be done to stymie litigation in other places, and so forth: it will therefore examine law, procedure, and tactics. It will in part be done by reference to pleadings and skeleton arguments which will be drafted specially for the purpose. In the first year of its being offered, the course will be available only to final-year students who have completed the course on Commercial Conflict of Laws.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Law Major, AREA - Legal Studies Major, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - LAW302",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW407,,,
LAW408,YPHSL,Chinese Foreign Investment Law,"The course will introduce law students to China's rationale and approach to foreign direct investment, the main FDI forms in China including the laws and the relevant legislations governing these forms, such as equity joint ventures, contractual joint ventures, wholly foreign-owned enterprises, limited liability companies as well as Mergers & Acquisitions in China. It will provide law students with a critical, accurate and updated understanding of the FDI regime as well as the relationship between the FDI governing laws and other general laws.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Law Major, AREA - Legal Studies Major, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LAW468, RQCX - LGST228",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW408,,,LAW468
LAW409,YPHSL,"Law of Confidential Information, Trade Secrets and Privacy","This course examines the extent to which the law protects confidential information. Not just confidential commercial information and trade secrets but also the way in which the law has developed internationally to provide better protection for personal or private information. Aside from gaining knowledge in this very important area of the law, this course will help reinforce your understanding of how the common law develops and the interaction between policy considerations and judicial law making.",-,-,GRD - Graded,"AREA - Advanced Business Technology Major, AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Law Major, AREA - Legal Studies Major, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LGST214",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW409,,,
LAW411,YPHSL,Corporate Crime,"This course will provide students with knowledge of major business or corporate crimes. Students will learn to appreciate the delicate balance which needs to be maintained between sustaining robust corporate activities and ensuring corporate integrity and good governance through sufficient regulation.  

Crimes are taking place in the business or corporate world with greater frequency. Knowledge of such crimes is, therefore, becoming increasingly important for all professionals.  This course will provide students with sufficient knowledge of the characteristics of major corporate crimes such as criminal breach of trust, company fraud, corruption, insider trading, cyber crime, money laundering and terrorist financing, the reasons for their occurrence and the work of the regulatory, investigating and prosecuting agencies.  It will also examine the role of the State in regulating corporate behaviour and current methods of crime control including international initiatives.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LGST236",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW411,,,LGST236
LAW412,YPHSL,Islamic Commercial Law,"More than ¼ of the world's population is Muslim, including roughly 195 million Muslims in Indonesia, 16 million Muslims in Malaysia, and 439 million Muslims in India, Pakistan and Bangladesh. Increasingly important in the commercial life of even purely secular countries, Islamic finance world-wide is enjoying an annual growth rate estimated conservatively between 15–20% (assets under management by Islamic financial institutions are estimated to be growing annually as much as 25% and even 40% in some locations). Islamic law has long been overlooked in traditional legal curricula yet it is increasingly important for practicing lawyers to have a basic familiarity with its commercial concepts, as a complement to common law and civil code systems. This subject is an introduction for law students to the primary sources of Islamic law (Sharī'ah), Islamic commercial jurisprudence (fiqh al-mu'āmalah), and jurisprudential methodology in Islam (usūl al-fiqh); legal interpretation and analysis through the methodology of ijtihād, and concepts of qiyās, 'illah, istihsān, and maslāhah; Islamic law of contracts, including sales contracts (e.g. bai' al-salam, bai' al-inah, bai' al-istisnā') and partnerships used in commercial transactions (mudārabah and mushārakah); and the Islamic waqf.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Law Major, AREA - Legal Studies Major, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=LAW412,,,
LAW413,YPHSL,Banking Law,"The law of banking is a topic of fundamental importance in market economies. Banks as providers of deposit and savings accounts, payment mechanisms, and finance are crucial to all sectors of commerce. A significant sector of the legal profession provides advice to the banking industry and this course will be helpful to those seeking to work in that sector.
 
The initial part of the course will focus upon the duties and obligations of banks and their customers, in particular, in respect of payment methods. In this context there will be an analysis of those legal principles which enable a bank (or its customer) to recover mistaken payments, as well as an examination of the bank's liability for the fraudulent activities of third parties. More generally, there will be a consideration of the bank's responsibility as a fiduciary and its duty of confidentiality to its customer.

The second part of the course will then be devoted to the pivotal role of the bank as a finance provider. There will be a consideration of different types of loan, together with legal mechanisms that are available, or may be utilised, to secure their repayment  (for example, guarantees, set-offs, security over receivables and liens). Particular emphasis will be placed on problems of drafting. Attention will also be given to the bank's role in financing international trade through performance bonds and letters of credit.",-,-,GRD - Graded,"AREA - Business Options, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LGST209, RQSR - LGST101/201 Grd A- or LAW101 Grd A- or enrol LLB",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW413,,,
LAW414,YPHSL,International Commercialisation of Intellectual Property Rights,"This course will examine different ways in which value may be extracted from the ownership of intellectual property rights (IPRs).  We will start with an overview of the various IPRs around the world and the more important differences between particular countries, which are important when considering an international IP strategy.  The course will then turn to look at different ways of dealing with IPRs: assignment or sale, licensing, and joint ventures; and the different challenges they present.  We will look in detail at the provisions to be included in assignments and licence agreements of the different IPRs.  After that, we will look at how to conduct IP due diligence in corporate transactions, what to look for and how to negotiate the documentation.  After that, IP issues in the IT industry will be discussed, as well as those you will come across in relation to using the Internet or setting up an Internet-based business.  Finally, we will consider how the enforcement of IPRs plays a critical role in extracting value.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQSR - LAW101&102&105&202 or LGST101/201 with Grd A-, TRCK - Law: Law and Technology Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW414,,,
LAW415,YPHSL,International Patent Law and Policy,"This course will provide an introduction to key aspects of the international patent system and the myriad policies at play in ongoing global patent harmonization conflicts. The value of patents is increasing in many areas while at the same time the scope of patent-eligible subject matter is expanding.  We will explore the impact of these forces in the creation of international agreements concerning patents, such as the Paris Convention, Patent Cooperation Treaty, the Agreement on Trade Related Aspects of Intellectual Property, and various bilateral agreements.  Against the backdrop of the U.S patent system, we also will consider the importance of regional patent systems such as the European Patent Convention, as well as the systems of other significant patent players, such as Japan and China. We will also look at controversies in areas such as access to medicines, morally controversial biotech inventions, and computer-implemented inventions.  These and other topics will introduce students to the basics of international and comparative patent law and provide a basis for critical evaluations of the desirability of ever-increasing levels of patent protection on a global scale.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Global & Regional Studies, AREA - Law Major, AREA - Legal Studies Major, AREA - Social Sciences/PLE Major-related, AREA - Technology & Entrepreneurship, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQSR - LGST101/201 Grd A- or LAW101 Grd A- or enrol LLB",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW415,,,
LAW416,YPHSL,International Moots 1,"This is the course to take if students are interested in representing SMU in the best international moot competitions. It will be an intensive course held over half of the first semester, and admission is by approval of the course convenor only. This course exposes students to advanced legal research, writing and appellate advocacy skills. Students will be given a hypothetical moot problem on international law and will have to make oral and written submissions by the end of the course. Those who excel in this course will be selected to participate in moot competitions in the second semester.","Corporate and Business Law, Professional and Business Ethics, Legal Drafting and Writing, Conflict Resolution, Restructuring Insolvency Advisory","Disciplinary knowledge, Multidisciplinary knowledge, Interdisciplinary knowledge, Critical thinking & problem solving, Innovation and enterprising skills, Collaboration and leadership, Communication, Intercultural understanding and sensitivity, Understanding of global and Asian perspectives, Ethics and social responsibility, Understanding of sustainability issues, Self-directed learning, Resilience",GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Social Sciences/PLE Major-related, RQPR - Applicable for LLB only, TRCK - Law: Dispute Resolution Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW416,,,
LAW417,YPHSL,Law of Mergers and Acquisitions,"This course is designed to provide an overview of the regulation and practice of mergers and acquisitions transactions in Singapore. Where relevant, comparisons with other jurisdictions such as United States, United Kingdom, Australia and Hong Kong will be made. The topics that would be covered include mechanics of structuring mergers and acquisitions transactions, the preparatory work that is required in connection therewith, the regulatory environment in which mergers and acquisitions take place, duties of participants engaged in mergers and acquisitions (including legal advisers, financial advisers and directors of acquirers and target companies), deal protections, deal tactics for friendly and hostile bids, disclosure obligations, competition issues, compulsory acquisitions and financing. 

Case studies, adapted from real life examples, will be used extensively in the course.","Corporate and Business Law, Risk Advisory, Business Negotiation, Regulatory and Legal Advisory","Multidisciplinary knowledge, Critical thinking & problem solving, Collaboration and leadership, Innovation and enterprising skills, Communication, Self-directed learning, Resilience, Disciplinary knowledge, Interdisciplinary knowledge",GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Finance Electives, AREA - Law Capstone, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - LAW101, RQCP - LAW102, RQCP - LAW201, RQCX - LAW610, RQCX - LGST217, TRCK - Law: Corporate Transaction Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW417,,,
LAW418,YPHSL,Insurance Law,"The objective of this course is to understand laws regarding insurance contract, insurance companies and the insurance market. Insurance is an integral part of people's daily life and insurance companies are important participants in the financial market. The purposes of this course are two-folds: (1) this course will introduce certain special rules regarding insurance contracts (based on the general contract law), e.g. insurable interests and duty of utmost good faith; and (2) this course will introduce the regulation of insurance companies and insurance agents. After this course, students should be able to make arguments regarding insurance policies on behalf of an insured or an insurance company and to identify regulatory issues regarding the operation and risk management of insurance business. The course will primarily focus on Singapore law; but comparisons will be made from time to time to the laws of other countries.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Law Major, AREA - Legal Studies Major, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQSR - LGST101 or (LAW101 and LAW102)",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW418,,,
LAW421,YPHSL,Law of Corporate Finance,"This course would cover the techniques used by corporates to raise funds and the key legal issues that affect borrowers and lenders. Sub-topics under this course include the following:

- Overview of bank lending (including what constitutes syndicated lending, the key legal issues for lenders and how these are addressed through the main documents etc)

- Fund-raising in the capital markets (to some degree, the content here would overlap with that covered in a course on securities regulations but would also cover the use of trusts in common law capital markets transactions, the key legal issues and risks). In this context, the complicated debt securities such as CDOs, structured products, securitisations etc can be covered.

- Risk management – this is an important aspect of financing these days. The crisis has shown that little attention was paid to how banks monitor and regulate their exposures. In this context, there can be interesting discussions on post-crisis regulations, derivative products, issues such as capital adequacy for banks etc.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Law Major, AREA - Legal Studies Major, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQSR - LGST101/201 Grd A- or LAW101 Grd A- or enrol LLB",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW421,,,
LAW422,YPHSL,Trade and Investment Law,"Singapore is a centre of trade and investment. The fields of international trade and investment law are intertwined, and an understanding of the law, trade and investment barriers, practices, institutions and policies operating in these fields is essential to effective work in international law firms, multinational corporations and international legal work in government. The first part of this course examines the international trade landscape, the main institutional protagonist, namely the World Trade Organization, and its rules, while the second part examines the legal issues surrounding cross-border investment decisions and disputes, particularly those arising in ICSID arbitrations. The course will equip students with an understanding of the sources of law, its interpretative instruments, the relevant institutions and their rules and the ability to identify common trade and investment issues facing international businesses in order to work out appropriate legal advice and solutions.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LAW4008, RQCX - LAW410, RQCX - LAW432, RQCX - LAW458, RQCX - LGST227, RQSR - LGST101/201/LAW101 with Grd A or LLB",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW422,,,LAW.410|LAW4008|LAW4021|LAW4040|LAW432|LAW458
LAW423,YPHSL,Maritime and Admiralty Law in International Commerce,"This course aims to give students a foundational knowledge and understanding of the legal principles, commercial context and policies underpinning the law on carriage of goods by sea and Admiralty law practice. It also explains the pivotal role of these areas of practice within modern commercial law, particularly in trade finance, international sale of goods, and maritime arbitration. The course is conducted in a seminar format. The course is taught by specialist maritime and international trade law practitioners, there will be a particular focus on common issues arising in these areas of practice in the context of commercial dispute resolution. 

The course will examine the main features and the commercial significance of the different types of charterparties and bills of lading commonly used in international sea trades.  Significant international shipping conventions will be examined from a practical perspective. This course also provides study of the principles and practical application of the law of obtaining security by ship arrest and maritime remedies.  Another main area of study is the role of jurisdiction and arbitration clauses in dispute forum selection.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LAW4030, RQSR - LGST101/201 Grd A- or LAW101 Grd A- or enrol LLB",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW423,,,
LAW424,YPHSL,Personal Property,"This elective is designed to complement the Core course on the Law of Property (LAW202).  That course introduced students to basic common law and equitable principles regarding both immoveable and moveable property. Building on the concepts and concerns raised in that Core course, this elective will provide students with the opportunity to consider, at greater depth, the issues and areas of uncertainty that continue to cloud our understanding of how the law of property applies to moveable (i.e. personal) property.  This elective will consider, in particular, some forms of tangible personal property (i.e. chattels), as well as some categories of intangible personal property (i.e. choses in action).  Intangible personal property in the form of intellectual property rights will not be covered in this elective.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Law Major, AREA - Legal Studies Major, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQSR - LGST101/201 Grd A- or LAW101 Grd A- or enrol LLB",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=LAW424,,,
